1,Clemson,ACC (Atlantic),12,1,.923,8,1,.889,35.4,12.8,22.40,6.17,4,5,2,
2,North Carolina State,ACC (Atlantic),8,4,.667,6,2,.750,30.6,24.8,11.55,6.13,,,14,
3,Louisville,ACC (Atlantic),8,4,.667,4,4,.500,39.0,27.1,10.67,3.67,,16,14,
4,Boston College,ACC (Atlantic),7,5,.583,4,4,.500,26.2,22.5,10.54,7.46,,,,
5,Wake Forest,ACC (Atlantic),7,5,.583,4,4,.500,33.7,26.3,11.72,6.47,,,,
6,Florida State,ACC (Atlantic),6,6,.500,3,5,.375,26.7,21.9,7.40,6.90,,3,3,
7,Syracuse,ACC (Atlantic),4,8,.333,2,6,.250,27.4,32.2,2.59,6.43,,,,
8,Miami (FL),ACC (Coastal),10,2,.833,7,2,.778,29.5,19.9,16.01,5.76,2,18,2,
9,Virginia Tech,ACC (Coastal),9,3,.750,5,3,.625,28.8,13.5,11.87,2.29,24,21,12,
10,Georgia Tech,ACC (Coastal),5,6,.455,4,4,.500,28.1,26.5,7.04,6.59,,,,
11,Duke,ACC (Coastal),6,6,.500,3,5,.375,25.8,20.8,6.39,3.89,,,,
12,Virginia,ACC (Coastal),6,6,.500,3,5,.375,23.8,26.7,2.05,3.96,,,,
13,Pitt,ACC (Coastal),5,7,.417,3,5,.375,23.9,26.6,1.63,4.55,,,,
14,North Carolina,ACC (Coastal),3,9,.250,1,7,.125,26.0,31.3,-1.21,4.71,,,,
15,UCF,American (East),12,0,1.000,9,0,1.000,49.4,25.2,16.61,-1.97,13,,13,
16,South Florida,American (East),9,2,.818,6,2,.750,38.3,22.5,7.20,-6.17,22,19,16,
17,Temple,American (East),6,6,.500,4,4,.500,24.8,27.7,-2.27,-1.11,,,,
18,Cincinnati,American (East),4,8,.333,2,6,.250,20.9,31.8,-9.30,-0.47,,,,
19,Connecticut,American (East),3,9,.250,2,6,.250,23.6,37.9,-11.68,0.49,,,,
20,East Carolina,American (East),3,9,.250,2,6,.250,24.9,45.0,-12.02,0.32,,,,
21,Memphis,American (West),10,2,.833,7,2,.778,47.7,33.4,9.44,-1.23,17,,17,
22,Houston,American (West),7,4,.636,5,3,.625,28.4,23.0,3.43,-0.85,,,,
23,Navy,American (West),6,6,.500,4,4,.500,28.9,27.9,4.38,3.13,,,25,
24,SMU,American (West),7,5,.583,4,4,.500,40.2,35.5,3.15,-0.44,,,,
25,Tulane,American (West),5,7,.417,3,5,.375,27.5,29.2,-1.80,-0.14,,,,
26,Tulsa,American (West),2,10,.167,1,7,.125,29.3,37.5,-7.05,0.45,,,,
27,Oklahoma,Big 12,12,1,.923,9,1,.900,44.9,25.0,19.19,3.80,3,7,2,
28,Texas Christian,Big 12,10,3,.769,7,3,.700,33.2,17.6,14.56,3.49,10,,4,
29,Oklahoma State,Big 12,9,3,.750,6,3,.667,46.3,30.1,12.51,2.35,18,10,6,
30,Iowa State,Big 12,7,5,.583,5,4,.556,29.9,21.0,9.37,3.54,,,14,
31,Kansas State,Big 12,7,5,.583,5,4,.556,32.1,25.8,4.78,1.12,,20,18,
32,Texas,Big 12,6,6,.500,5,4,.556,29.2,21.7,7.24,3.99,,23,23,
33,West Virginia,Big 12,7,5,.583,5,4,.556,36.3,31.6,6.10,2.85,,22,22,
34,Texas Tech,Big 12,6,6,.500,3,6,.333,34.3,31.8,3.35,3.85,,,24,
35,Baylor,Big 12,1,11,.083,1,8,.111,24.3,35.9,-6.60,3.98,,,,
36,Kansas,Big 12,1,11,.083,0,9,.000,18.7,43.4,-12.23,4.35,,,,
37,Ohio State,Big Ten (East),11,2,.846,9,1,.900,42.5,19.9,21.28,7.59,8,2,2,
38,Penn State,Big Ten (East),10,2,.833,7,2,.778,41.6,15.5,21.68,5.68,12,6,2,
39,Michigan State,Big Ten (East),9,3,.750,7,2,.778,23.1,20.3,12.77,8.10,21,,13,
40,Michigan,Big Ten (East),8,4,.667,5,4,.556,25.8,18.3,14.51,6.93,,11,7,
41,Rutgers,Big Ten (East),4,8,.333,3,6,.333,18.0,28.3,-2.00,6.42,,,,
42,Indiana,Big Ten (East),5,7,.417,2,7,.222,26.8,25.3,4.94,5.10,,,,
43,Maryland,Big Ten (East),4,8,.333,2,7,.222,24.1,37.1,1.01,9.76,,,,
44,Wisconsin,Big Ten (West),12,1,.923,9,1,.900,33.8,13.2,22.63,5.71,5,9,4,
45,Northwestern,Big Ten (West),9,3,.750,7,2,.778,29.7,19.8,11.69,5.52,23,,23,
46,Iowa,Big Ten (West),7,5,.583,4,5,.444,28.3,19.9,14.39,8.56,,,25,
47,Purdue,Big Ten (West),6,6,.500,4,5,.444,24.2,19.3,10.09,6.84,,,,
48,Nebraska,Big Ten (West),4,8,.333,3,6,.333,25.8,36.4,1.87,8.54,,,,
49,Minnesota,Big Ten (West),5,7,.417,2,7,.222,22.1,22.8,3.64,5.06,,,,
50,Illinois,Big Ten (West),2,10,.167,0,9,.000,15.4,31.5,-7.67,5.58,,,,
51,Florida Atlantic,CUSA (East),10,3,.769,9,0,1.000,39.8,24.2,7.24,-4.69,,,,
52,Florida International,CUSA (East),8,4,.667,5,3,.625,27.5,28.5,-5.09,-6.67,,,,
53,Marshall,CUSA (East),8,5,.615,4,4,.500,26.7,19.9,-0.71,-6.02,,,,
54,Middle Tennessee State,CUSA (East),7,6,.538,4,4,.500,25.5,24.7,-6.08,-6.46,,,,
55,Western Kentucky,CUSA (East),6,7,.462,4,4,.500,25.5,26.8,-10.86,-9.48,,,,
56,Old Dominion,CUSA (East),5,7,.417,3,5,.375,20.7,31.7,-13.56,-6.14,,,,
57,Charlotte,CUSA (East),1,11,.083,1,7,.125,14.2,32.8,-19.87,-5.62,,,,
58,North Texas,CUSA (West),9,5,.643,7,2,.778,35.5,35.0,-3.52,-4.02,,,,
59,Southern Mississippi,CUSA (West),8,4,.667,6,2,.750,30.5,23.0,-4.57,-9.49,,,,
60,UAB,CUSA (West),8,4,.667,6,2,.750,29.6,24.3,-6.78,-11.53,,,,
61,Louisiana Tech,CUSA (West),6,6,.500,4,4,.500,28.8,26.7,-4.68,-6.51,,,,
62,UTSA,CUSA (West),6,5,.545,3,5,.375,23.5,17.0,-5.57,-10.12,,,,
63,Rice,CUSA (West),1,11,.083,1,7,.125,16.3,35.8,-18.01,-3.93,,,,
64,UTEP,CUSA (West),0,12,.000,0,8,.000,11.8,36.8,-23.72,-3.64,,,,
65,Massachusetts,Ind,4,8,.333,,,,30.6,31.8,-9.57,-7.24,,,,
66,Army,Ind,9,3,.750,,,,29.8,20.9,2.93,-3.74,,,,
67,Notre Dame,Ind,9,3,.750,,,,35.3,21.8,19.71,8.96,9,,3,
68,Brigham Young,Ind,4,9,.308,,,,17.1,24.7,-7.91,-1.21,,,,
69,Ohio,MAC (East),8,4,.667,5,3,.625,38.9,25.8,1.96,-5.54,,,,
70,Akron,MAC (East),7,6,.538,6,3,.667,23.6,26.3,-2.94,-1.71,,,,
71,Buffalo,MAC (East),6,6,.500,4,4,.500,28.5,24.8,-2.13,-4.55,,,,
72,Miami (OH),MAC (East),5,7,.417,4,4,.500,24.4,24.1,-5.09,-5.26,,,,
73,Bowling Green State,MAC (East),2,10,.167,2,6,.250,25.3,38.0,-12.12,-1.37,,,,
74,Kent State,MAC (East),2,10,.167,1,7,.125,12.8,35.1,-16.43,-0.52,,,,
75,Toledo,MAC (West),11,2,.846,8,1,.889,39.2,25.6,7.18,-4.20,,,,
76,Central Michigan,MAC (West),8,4,.667,6,2,.750,29.7,26.8,-2.35,-4.02,,,,
77,Northern Illinois,MAC (West),8,4,.667,6,2,.750,30.2,20.8,3.56,-3.94,,,,
78,Western Michigan,MAC (West),6,6,.500,4,4,.500,33.9,29.0,-1.55,-3.05,,,,
79,Eastern Michigan,MAC (West),5,7,.417,3,5,.375,26.1,23.3,-3.00,-3.66,,,,
80,Ball State,MAC (West),2,10,.167,0,8,.000,17.9,40.7,-17.88,-4.13,,,,
81,Boise State,MWC (Mountain),11,3,.786,8,1,.889,32.5,22.9,9.25,0.11,25,,25,
82,Colorado State,MWC (Mountain),7,6,.538,5,3,.625,33.4,27.8,-0.62,-4.70,,,,
83,Wyoming,MWC (Mountain),7,5,.583,5,3,.625,22.3,17.8,-1.15,-4.32,,,,
84,Utah State,MWC (Mountain),6,6,.500,4,4,.500,31.0,27.0,-0.90,-3.15,,,,
85,Air Force,MWC (Mountain),5,7,.417,4,4,.500,31.4,32.4,-4.52,-0.77,,,,
86,New Mexico,MWC (Mountain),3,9,.250,1,7,.125,20.7,31.8,-10.22,-2.22,,,,
87,San Diego State,MWC (West),10,2,.833,6,2,.750,30.4,18.4,6.50,-3.75,,,19,
88,Fresno State,MWC (West),9,4,.692,7,2,.778,26.7,17.2,4.28,-1.80,,,,
89,Nevada-Las Vegas,MWC (West),5,7,.417,4,4,.500,28.8,31.8,-7.57,-5.07,,,,
90,Nevada,MWC (West),3,9,.250,3,5,.375,28.2,33.9,-8.44,-1.19,,,,
91,Hawaii,MWC (West),3,9,.250,1,7,.125,22.8,33.9,-13.32,-4.90,,,,
92,San Jose State,MWC (West),2,11,.154,1,7,.125,15.8,41.7,-18.20,-2.12,,,,
93,Washington,Pac-12 (North),10,2,.833,7,2,.778,36.9,14.5,17.40,0.98,15,8,5,
94,Stanford,Pac-12 (North),9,4,.692,7,3,.700,32.0,21.5,12.33,5.41,20,14,14,
95,Washington State,Pac-12 (North),9,3,.750,6,3,.667,31.4,24.4,8.97,2.39,14,24,8,
96,Oregon,Pac-12 (North),7,6,.538,4,5,.444,36.0,29.0,5.62,2.85,,,24,
97,California,Pac-12 (North),5,7,.417,2,7,.222,27.8,28.4,0.99,2.90,,,,
98,Oregon State,Pac-12 (North),1,11,.083,0,9,.000,20.7,43.0,-12.41,4.42,,,,
99,USC,Pac-12 (South),11,2,.846,9,1,.900,34.5,26.3,14.06,4.91,11,4,4,
100,Arizona State,Pac-12 (South),7,5,.583,6,3,.667,31.9,31.3,5.77,3.94,,,,
101,Arizona,Pac-12 (South),7,5,.583,5,4,.556,41.8,34.1,4.33,-0.76,,,23,
102,UCLA,Pac-12 (South),6,6,.500,4,5,.444,33.8,36.8,2.68,5.26,,,25,
103,Utah,Pac-12 (South),6,6,.500,3,6,.333,29.5,23.9,4.97,2.14,,,20,
104,Colorado,Pac-12 (South),5,7,.417,2,7,.222,26.4,28.2,-1.54,0.71,,,,
105,Georgia,SEC (East),12,1,.923,8,1,.889,34.9,13.2,22.75,4.90,7,15,2,
106,South Carolina,SEC (East),8,4,.667,5,3,.625,24.1,20.8,6.70,3.03,,,,
107,Kentucky,SEC (East),7,5,.583,4,4,.500,25.8,28.6,1.25,2.42,,,,
108,Missouri,SEC (East),7,5,.583,4,4,.500,39.3,31.8,5.39,0.89,,,,
109,Florida,SEC (East),4,7,.364,3,5,.375,22.1,27.3,0.93,5.48,,17,17,
110,Vanderbilt,SEC (East),5,7,.417,1,7,.125,24.6,31.3,-2.32,2.10,,,,
111,Tennessee,SEC (East),4,8,.333,0,8,.000,19.8,29.1,-3.23,3.35,,25,23,
112,Alabama,SEC (West),11,1,.917,7,1,.875,39.1,11.5,18.95,2.62,1,1,1,
113,Auburn,SEC (West),10,3,.769,7,2,.778,34.4,17.3,18.49,5.49,6,12,6,
114,LSU,SEC (West),9,3,.750,6,2,.750,28.1,18.8,11.52,2.44,19,13,12,
115,Mississippi State,SEC (West),8,4,.667,4,4,.500,32.1,20.4,11.06,2.97,16,,16,
116,Texas A&M,SEC (West),7,5,.583,4,4,.500,31.1,28.7,3.08,2.16,,,,
117,Ole Miss,SEC (West),6,6,.500,3,5,.375,32.8,34.6,2.51,1.18,,,,
118,Arkansas,SEC (West),4,8,.333,1,7,.125,28.8,36.2,-2.84,3.91,,,,
119,Appalachian State,Sun Belt,8,4,.667,7,1,.875,33.4,21.9,-1.92,-8.92,,,,
120,Coastal Carolina,Sun Belt,3,9,.250,2,6,.250,23.7,34.0,-17.45,-9.04,,,,
121,Georgia Southern,Sun Belt,2,10,.167,2,6,.250,20.8,32.2,-17.20,-5.95,,,,
122,Troy,Sun Belt,11,2,.846,7,1,.875,31.5,18.5,3.53,-8.09,,,,
123,Arkansas State,Sun Belt,7,5,.583,6,2,.750,37.8,25.8,-2.42,-9.92,,,,
124,Georgia State,Sun Belt,7,5,.583,5,3,.625,20.3,24.8,-10.96,-9.55,,,,
125,New Mexico State,Sun Belt,6,6,.500,4,4,.500,29.6,30.5,-10.04,-9.04,,,,
126,Louisiana-Lafayette,Sun Belt,5,7,.417,4,4,.500,28.2,40.0,-15.96,-8.79,,,,
127,Louisiana-Monroe,Sun Belt,4,8,.333,4,4,.500,33.9,41.0,-11.12,-5.12,,,,
128,Idaho,Sun Belt,4,8,.333,3,5,.375,20.9,25.8,-11.56,-8.15,,,,
129,South Alabama,Sun Belt,4,8,.333,3,5,.375,19.8,26.5,-12.19,-6.94,,,,
130,Texas State,Sun Belt,2,10,.167,1,7,.125,17.3,33.6,-19.71,-7.71,,,,